RA,Nome,Fase,Turma,Ano_Dados,Ano_nasc,Idade,Genero,Ano_ingresso,Instituicao_de_ensino,Pedra,INDE,Cg,Cf,Ct,N_Av,Avaliador1,Rec_Av1,Avaliador2,Rec_Av2,Avaliador3,Rec_Av3,Avaliador4,Rec_Av4,IAA,IEG,IPS,IPP,Rec_Psicologia,IDA,Mat,Por,Ing,Indicado,Atingiu_PV,IPV,IAN,Fase_Ideal,Defasagem,Destaque_IEG,Destaque_IDA,Destaque_IPV
RA-257,Aluno-257,3,G,2022,2008,14,Feminino,2018,Escola Pública,Quartzo,5.149,815.0,124.0,9.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,0.0,6.4,5.6,,Requer avaliação,3.6,4.0,5.2,1.5,Não,Não,6.708,5.0,4.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-258,Aluno-258,3,G,2022,2010,12,Feminino,2018,Escola Pública,Ágata,6.926,517.0,67.0,5.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,10.0,7.3,5.6,,Sem limitações,4.8,2.7,6.2,5.5,Não,Não,6.125,10.0,3.0,0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-259,Aluno-259,3,G,2022,2006,16,Masculino,2017,Escola Pública,Quartzo,4.182,853.0,146.0,15.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Alocado em Fase anterior,8.8,2.9,7.5,,Não atendido,0.9,0.0,2.7,0.2,Não,Não,4.625,2.5,6.0,-3,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-26,Aluno-26,6,A,2022,2005,17,Masculino,2022,Escola Pública,Topázio,8.677,17.0,3.0,3.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,9.6,8.8,10.0,,Sem limitações,8.0,9.5,4.4,10.0,Sim,Sim,10.0,5.0,7.0,-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-260,Aluno-260,3,G,2022,2009,13,Feminino,2019,Escola Pública,Ametista,7.44,340.0,38.0,2.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,10.0,8.2,7.5,,Não atendido,5.0,5.7,5.2,4.2,Não,Não,6.458,10.0,3.0,0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-261,Aluno-261,3,G,2022,2008,14,Feminino,2019,Escola Pública,Ágata,6.763,566.0,74.0,6.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,8.8,7.2,5.6,,Sem limitações,5.8,6.2,5.8,5.5,Sim,Não,7.042,5.0,4.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-262,Aluno-262,3,G,2022,2007,15,Masculino,2021,Escola Pública,Quartzo,4.786,835.0,135.0,11.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,0.0,5.8,5.6,,Sem limitações,3.4,1.3,5.5,3.5,Não,Não,5.625,5.0,5.0,-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-263,Aluno-263,3,G,2022,2007,15,Feminino,2019,Escola Pública,Quartzo,5.319,800.0,121.0,8.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,5.8,5.6,7.5,,Não atendido,3.7,3.0,2.8,5.4,Não,Não,4.417,5.0,5.0,-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-264,Aluno-264,3,I,2022,2007,15,Feminino,2022,Escola Pública,Ametista,7.087,460.0,57.0,2.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,10.0,9.2,5.6,,Requer avaliação,5.8,6.0,5.5,,Não,Não,6.625,5.0,5.0,-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-265,Aluno-265,3,I,2022,2009,13,Masculino,2019,Escola Pública,Ametista,7.926,162.0,26.0,1.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase + Bolsa,8.3,7.7,7.5,,Não atendido,6.9,5.3,7.0,8.5,Sim,Não,7.917,10.0,3.0,0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-266,Aluno-266,3,I,2022,2006,16,Feminino,2019,Escola Pública,Quartzo,5.987,730.0,104.0,4.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.5,5.8,5.6,,Requer avaliação,6.0,5.0,6.7,6.3,Não,Não,6.583,2.5,6.0,-3,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-267,Aluno-267,3,I,2022,2007,15,Feminino,2016,Escola Pública,Ágata,6.012,727.0,103.0,3.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,10.0,7.4,5.0,,Não indicado,3.3,2.3,4.8,2.7,Não,Não,6.292,5.0,5.0,-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-268,Aluno-268,3,K,2022,2008,14,Feminino,2021,Escola Pública,Ágata,6.695,590.0,77.0,11.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase + Bolsa,9.2,6.7,6.3,,Requer avaliação,5.7,7.0,6.8,3.2,Sim,Não,7.208,5.0,4.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-269,Aluno-269,3,K,2022,2009,13,Masculino,2022,Escola Pública,Topázio,8.231,76.0,13.0,2.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,9.2,8.6,6.3,,Requer avaliação,8.9,8.7,9.5,8.5,Não,Não,7.25,10.0,3.0,0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-27,Aluno-27,6,A,2022,2005,17,Masculino,2016,Rede Decisão,Ametista,7.124,449.0,12.0,12.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,0.0,7.6,8.1,,Sem limitações,8.0,7.7,6.3,10.0,Não,Sim,9.111,5.0,7.0,-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-270,Aluno-270,3,K,2022,2009,13,Feminino,2019,Rede Decisão,Topázio,8.226,79.0,14.0,3.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase + Bolsa,8.3,8.4,6.9,,Não atendido,7.9,8.0,7.2,8.5,Não,Não,8.125,10.0,3.0,0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-271,Aluno-271,3,K,2022,2007,15,Feminino,2022,Escola Pública,Ametista,7.255,411.0,50.0,8.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase + Bolsa,9.2,8.5,5.6,,Requer avaliação,7.1,6.3,6.5,8.3,Sim,Não,6.958,5.0,5.0,-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-272,Aluno-272,3,K,2022,2008,14,Masculino,2021,Escola Pública,Ágata,6.361,666.0,88.0,14.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,9.2,5.7,7.5,,Não atendido,5.1,5.0,6.8,3.5,Não,Não,6.417,5.0,4.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-273,Aluno-273,3,K,2022,2008,14,Feminino,2018,Escola Pública,Quartzo,5.679,761.0,110.0,15.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,9.2,5.3,7.5,,Não atendido,3.0,3.8,4.7,0.5,Não,Não,5.833,5.0,4.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-274,Aluno-274,3,K,2022,2011,11,Feminino,2019,Rede Decisão,Ametista,7.946,157.0,24.0,5.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Alocado em Fase anterior,7.9,8.3,7.5,,Não atendido,8.1,8.1,9.3,7.0,Não,Não,7.0,10.0,2.0,1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-275,Aluno-275,3,K,2022,2007,15,Masculino,2018,Escola Pública,Ágata,6.665,600.0,79.0,12.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,9.6,6.9,7.5,,Não atendido,4.6,5.0,6.0,2.7,Sim,Não,6.667,5.0,5.0,-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-276,Aluno-276,3,K,2022,2008,14,Feminino,2017,Escola Pública,Quartzo,5.527,788.0,118.0,16.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,7.1,5.7,5.6,,Não indicado,4.3,3.7,6.0,3.3,Não,Não,5.125,5.0,4.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-277,Aluno-277,3,K,2022,2008,14,Masculino,2021,Escola Pública,Ametista,7.411,354.0,41.0,7.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase + Bolsa,7.1,8.8,7.5,,Não atendido,7.4,7.2,7.0,8.2,Sim,Não,7.208,5.0,4.0,-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-278,Aluno-278,3,K,2022,2010,12,Masculino,2018,Rede Decisão,Ametista,7.741,222.0,31.0,6.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase + Bolsa,8.8,9.2,5.6,,Requer avaliação,6.0,5.7,5.8,6.4,Não,Não,7.417,10.0,3.0,0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-279,Aluno-279,3,K,2022,2009,13,Masculino,2019,Rede Decisão,Topázio,8.815,10.0,1.0,1.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase + Bolsa,9.2,9.9,6.3,,Sem limitações,9.1,9.7,8.3,9.3,Não,Não,8.208,10.0,3.0,0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-28,Aluno-28,6,A,2022,2005,17,Feminino,2019,Escola Pública,Ágata,6.242,698.0,14.0,14.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Promovido de Fase,7.9,6.1,7.5,,Requer avaliação,5.0,8.2,1.5,5.3,Não,Não,6.333,5.0,7.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-280,Aluno-280,3,K,2022,2009,13,Feminino,2021,Rede Decisão,Ametista,8.046,133.0,20.0,4.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.5,9.2,7.5,,Sem limitações,7.1,5.7,7.0,8.7,Não,Não,7.333,10.0,3.0,0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-281,Aluno-281,3,K,2022,2009,13,Feminino,2019,Escola Pública,Ágata,6.806,553.0,71.0,10.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,6.7,6.9,7.5,,Sem limitações,5.9,5.0,6.8,6.0,Não,Não,5.625,10.0,3.0,0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-282,Aluno-282,3,K,2022,2009,13,Feminino,2019,Escola Pública,Ágata,6.618,620.0,80.0,13.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,8.8,6.8,7.5,,Sem limitações,4.0,4.7,6.3,1.0,Não,Não,5.625,10.0,3.0,0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-283,Aluno-283,3,K,2022,2008,14,Masculino,2020,Escola Pública,Ametista,7.131,448.0,54.0,9.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,9.6,8.8,7.5,,Não atendido,5.6,4.5,5.8,6.6,Não,Não,6.625,5.0,4.0,-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-284,Aluno-284,3,L,2022,2009,13,Masculino,2022,Escola Pública,Quartzo,5.939,734.0,106.0,3.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,6.7,5.1,5.6,,Sem limitações,3.8,7.0,4.5,0.0,Não,Não,5.958,10.0,3.0,0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-285,Aluno-285,3,L,2022,2006,16,Feminino,2020,Escola Pública,Quartzo,5.063,817.0,126.0,5.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Alocado em Fase anterior,9.2,4.1,7.5,,Sem limitações,2.8,4.0,3.2,1.2,Não,Não,5.75,2.5,6.0,-3,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-286,Aluno-286,3,L,2022,2007,15,Feminino,2022,Escola Pública,Quartzo,5.424,794.0,119.0,4.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,7.1,5.8,6.3,,Sem limitações,3.0,4.7,2.3,2.0,Não,Não,5.625,5.0,5.0,-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-287,Aluno-287,3,L,2022,2005,17,Feminino,2022,Escola Pública,Quartzo,3.7,859.0,148.0,11.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Alocado em Fase anterior,7.9,3.4,5.0,,Requer avaliação,1.1,0.7,2.5,0.2,Não,Não,4.292,2.5,7.0,-4,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-288,Aluno-288,3,L,2022,2006,16,Feminino,2022,Escola Pública,Quartzo,4.097,854.0,147.0,10.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,0.0,5.6,6.3,,Sem limitações,0.0,,,,Não,Não,6.833,2.5,6.0,-3,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-289,Aluno-289,3,L,2022,2008,14,Feminino,2020,Escola Pública,Ágata,6.236,699.0,94.0,2.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,0.0,7.8,6.3,,Sem limitações,6.8,5.3,7.5,7.5,Não,Não,7.25,5.0,4.0,-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-29,Aluno-29,6,A,2022,2005,17,Masculino,2022,Escola Pública,Quartzo,4.985,821.0,16.0,16.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase + Bolsa,Avaliador-28,Mantido na Fase atual,Avaliador-31,Alocado em Fase anterior,0.0,4.0,8.8,,Requer avaliação,3.7,6.3,1.1,3.8,Sim,Não,7.611,5.0,7.0,-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-290,Aluno-290,3,L,2022,2005,17,Feminino,2022,Escola Pública,Quartzo,4.929,830.0,131.0,7.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,10.0,3.9,6.3,,Sem limitações,1.7,1.0,2.3,1.8,Não,Não,6.042,2.5,7.0,-4,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-291,Aluno-291,3,L,2022,2009,13,Masculino,2022,Escola Pública,Topázio,8.122,107.0,18.0,1.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.3,8.2,6.9,,Sem limitações,8.0,8.0,7.5,8.5,Sim,Não,7.792,10.0,3.0,0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-292,Aluno-292,3,L,2022,2006,16,Masculino,2022,Escola Pública,Quartzo,4.837,833.0,134.0,9.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,7.9,3.7,7.5,,Não atendido,1.8,0.0,5.0,0.5,Não,Não,6.292,2.5,6.0,-3,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-293,Aluno-293,3,L,2022,2009,13,Masculino,2022,Escola Pública,Quartzo,4.875,831.0,132.0,8.0,4.0,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,8.8,2.9,7.5,,Não atendido,2.3,2.0,3.8,1.0,Não,Não,3.333,10.0,3.0,0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-294,Aluno-294,3,L,2022,2004,18,Feminino,2022,Escola Pública,Quartzo,5.031,819.0,127.0,6.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,9.6,5.8,7.5,,Não atendido,0.0,,,,Não,Não,5.917,2.5,8.0,-5,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-295,Aluno-295,3,M,2022,2008,14,Feminino,2022,Escola Pública,Ametista,7.305,386.0,45.0,2.0,4.0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.9,8.0,7.5,,Não atendido,6.9,5.3,7.7,7.7,Sim,Não,7.375,5.0,4.0,-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-296,Aluno-296,3,M,2022,2007,15,Feminino,2022,Escola Pública,Quartzo,4.665,839.0,137.0,16.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Alocado em Fase anterior,8.8,3.6,7.5,,Não atendido,2.8,5.7,2.7,0.2,Não,Não,3.833,5.0,5.0,-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-297,Aluno-297,3,M,2022,2009,13,Feminino,2022,Escola Pública,Ametista,7.478,324.0,36.0,1.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.1,7.9,6.3,,Sem limitações,6.6,6.3,5.3,8.2,Sim,Não,7.417,10.0,3.0,0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-298,Aluno-298,3,M,2022,2009,13,Masculino,2019,Escola Pública,Ágata,6.409,659.0,86.0,7.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Alocado em Fase anterior,9.2,6.3,5.6,,Sem limitações,5.2,5.5,4.8,,Não,Não,5.417,10.0,3.0,0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-299,Aluno-299,3,M,2022,2009,13,Feminino,2019,Rede Decisão,Ametista,7.278,404.0,48.0,3.0,4.0,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.1,8.2,5.0,,Requer avaliação,6.8,6.3,7.3,6.7,Não,Não,6.708,10.0,3.0,0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-3,Aluno-3,7,A,2022,2005,17,Feminino,2016,Rede Decisão,Ágata,6.591,629.0,13.0,6.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,0.0,7.9,5.6,,Sem limitações,5.6,5.8,4.0,6.9,Não,Não,7.556,10.0,7.0,0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-30,Aluno-30,6,A,2022,2006,16,Feminino,2021,Escola Pública,Ametista,7.605,270.0,9.0,9.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase,8.8,6.4,7.5,,Sem limitações,7.5,8.5,4.4,9.7,Não,Não,7.333,10.0,6.0,0,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
